[(33.659311, -0.475), (33.659311, 0.475), (53.886971, 0.475), (53.886971, -0.475), (33.659311, -0.475)] call_backward
[(237.361398, -0.475), (237.361398, 0.475), (257.64861, 0.475), (257.64861, -0.475), (237.361398, -0.475)] call_backward
[(448.040494, -0.475), (448.040494, 0.475), (468.283386, 0.475), (468.283386, -0.475), (448.040494, -0.475)] call_backward
[(56.113173, -0.475), (56.113173, 0.475), (75.464502, 0.475), (75.464502, -0.475), (56.113173, -0.475)] call_backward:up_pipe
[(259.439864, -0.475), (259.439864, 0.475), (278.669111, 0.475), (278.669111, -0.475), (259.439864, -0.475)] call_backward:up_pipe
[(470.21384, -0.475), (470.21384, 0.475), (489.611123, 0.475), (489.611123, -0.475), (470.21384, -0.475)] call_backward:up_pipe
[(75.695513, -0.475), (75.695513, 0.475), (82.260965, 0.475), (82.260965, -0.475), (75.695513, -0.475)] nb_sync_grad
[(278.884187, -0.475), (278.884187, 0.475), (285.637577, 0.475), (285.637577, -0.475), (278.884187, -0.475)] nb_sync_grad
[(490.465693, -0.475), (490.465693, 0.475), (497.286861, 0.475), (497.286861, -0.475), (490.465693, -0.475)] nb_sync_grad
avg duration 203.728765
[(0.0, 0.525), (0.0, 1.475), (15.124458, 1.475), (15.124458, 0.525), (0.0, 0.525)] call_forward
[(204.693887, 0.525), (204.693887, 1.475), (220.494371, 1.475), (220.494371, 0.525), (204.693887, 0.525)] call_forward
[(402.713491, 0.525), (402.713491, 1.475), (417.608286, 1.475), (417.608286, 0.525), (402.713491, 0.525)] call_forward
[(20.855164, 0.525), (20.855164, 1.475), (37.082749, 1.475), (37.082749, 0.525), (20.855164, 0.525)] call_forward:up_pipe
[(222.151927, 0.525), (222.151927, 1.475), (238.322457, 1.475), (238.322457, 0.525), (222.151927, 0.525)] call_forward:up_pipe
[(419.889645, 0.525), (419.889645, 1.475), (436.027054, 1.475), (436.027054, 0.525), (419.889645, 0.525)] call_forward:up_pipe
[(37.2895, 0.525), (37.2895, 1.475), (57.879132, 1.475), (57.879132, 0.525), (37.2895, 0.525)] call_backward:up_pipe
[(238.555639, 0.525), (238.555639, 1.475), (258.985238, 1.475), (258.985238, 0.525), (238.555639, 0.525)] call_backward:up_pipe
